close,high,low,open,time,volume,symbol
108291.0,108590.0,108225.5,108577.0,2025-05-23 21:50:00,211,BTCUSDT
108210.5,108291.5,108024.0,108291.5,2025-05-23 21:55:00,211,BTCUSDT
108287.5,108409.0,108201.5,108247.5,2025-05-23 22:00:00,235,BTCUSDT
108295.0,108340.5,108251.0,108323.5,2025-05-23 22:05:00,187,BTCUSDT
108473.0,108473.0,108258.0,108306.0,2025-05-23 22:10:00,1136,BTCUSDT
108372.5,108520.0,108365.5,108443.5,2025-05-23 22:15:00,246,BTCUSDT
108332.0,108467.5,108321.5,108372.5,2025-05-23 22:20:00,193,BTCUSDT
108268.0,108446.5,108266.5,108331.5,2025-05-23 22:25:00,192,BTCUSDT
108334.5,108362.0,108183.0,108247.0,2025-05-23 22:30:00,867,BTCUSDT
108145.5,108324.0,108111.5,108324.0,2025-05-23 22:35:00,163,BTCUSDT
108057.0,108190.0,108043.5,108145.5,2025-05-23 22:40:00,175,BTCUSDT
107679.5,108065.5,107666.5,108046.5,2025-05-23 22:45:00,3965,BTCUSDT
107609.5,107816.0,107609.5,107661.0,2025-05-23 22:50:00,1894,BTCUSDT
107747.0,107794.0,107603.0,107603.0,2025-05-23 22:55:00,369,BTCUSDT
107755.5,107843.0,107666.0,107700.5,2025-05-23 23:00:00,240,BTCUSDT
107612.5,107849.5,107612.5,107757.0,2025-05-23 23:05:00,173,BTCUSDT
107644.0,107644.0,107505.0,107611.5,2025-05-23 23:10:00,249,BTCUSDT
107462.0,107685.5,107462.0,107663.0,2025-05-23 23:15:00,193,BTCUSDT
107370.0,107525.0,107351.5,107467.5,2025-05-23 23:20:00,3135,BTCUSDT
107354.0,107461.0,107340.5,107377.5,2025-05-23 23:25:00,242,BTCUSDT
107340.5,107620.0,107340.5,107371.0,2025-05-23 23:30:00,1622,BTCUSDT
107315.0,107351.5,107055.0,107342.5,2025-05-23 23:35:00,1773,BTCUSDT
107032.5,107267.0,106891.0,107267.0,2025-05-23 23:40:00,1139,BTCUSDT
107141.0,107141.0,106743.0,107076.5,2025-05-23 23:45:00,4478,BTCUSDT
107132.5,107365.0,107012.5,107157.5,2025-05-23 23:50:00,2175,BTCUSDT
107266.5,107271.0,106933.0,107090.0,2025-05-23 23:55:00,1099,BTCUSDT
106882.0,107272.0,106857.0,107272.0,2025-05-24 00:00:00,317,BTCUSDT
107366.0,107366.0,106857.0,106886.5,2025-05-24 00:05:00,1858,BTCUSDT
107372.0,107435.5,107214.5,107353.5,2025-05-24 00:10:00,183,BTCUSDT
107382.0,107398.5,107215.5,107388.0,2025-05-24 00:15:00,628,BTCUSDT
107284.0,107411.0,107269.0,107335.0,2025-05-24 00:20:00,230,BTCUSDT
107198.5,107283.0,107091.5,107283.0,2025-05-24 00:25:00,320,BTCUSDT
107463.5,107463.5,107194.5,107194.5,2025-05-24 00:30:00,226,BTCUSDT
107612.5,107632.0,107416.5,107444.0,2025-05-24 00:35:00,2564,BTCUSDT
107441.0,107577.0,107441.0,107577.0,2025-05-24 00:40:00,180,BTCUSDT
107453.0,107525.5,107335.5,107465.5,2025-05-24 00:45:00,147,BTCUSDT
107422.0,107439.0,107316.0,107439.0,2025-05-24 00:50:00,178,BTCUSDT
107320.0,107429.5,107308.5,107429.5,2025-05-24 00:55:00,161,BTCUSDT
107445.0,107468.0,107313.0,107339.5,2025-05-24 01:00:00,213,BTCUSDT
107673.0,107717.5,107430.0,107444.5,2025-05-24 01:05:00,875,BTCUSDT
107571.5,107742.0,107557.5,107673.5,2025-05-24 01:10:00,201,BTCUSDT
107703.5,107734.5,107559.5,107571.5,2025-05-24 01:15:00,137,BTCUSDT
107724.5,107828.5,107712.5,107712.5,2025-05-24 01:20:00,204,BTCUSDT
107670.0,107751.5,107662.5,107712.5,2025-05-24 01:25:00,220,BTCUSDT
107700.0,107727.0,107623.0,107674.5,2025-05-24 01:30:00,102,BTCUSDT
107678.0,107727.0,107589.0,107705.0,2025-05-24 01:35:00,482,BTCUSDT
107526.5,107692.0,107526.5,107692.0,2025-05-24 01:40:00,107,BTCUSDT
107591.0,107591.0,107484.0,107524.5,2025-05-24 01:45:00,105,BTCUSDT
107463.0,107615.0,107460.5,107615.0,2025-05-24 01:50:00,111,BTCUSDT
107438.0,107470.0,107428.5,107470.0,2025-05-24 01:55:00,77,BTCUSDT
107476.5,107497.5,107205.0,107420.0,2025-05-24 02:00:00,497,BTCUSDT
107570.0,107574.0,107489.0,107489.0,2025-05-24 02:05:00,110,BTCUSDT
107567.5,107597.0,107510.0,107570.0,2025-05-24 02:10:00,64,BTCUSDT
107743.5,107797.5,107571.5,107571.5,2025-05-24 02:15:00,183,BTCUSDT
107709.0,107791.5,107709.0,107764.5,2025-05-24 02:20:00,121,BTCUSDT
107746.0,107746.0,107700.5,107714.0,2025-05-24 02:25:00,84,BTCUSDT
107786.0,107805.0,107746.0,107746.0,2025-05-24 02:30:00,79,BTCUSDT
107830.0,107830.0,107690.5,107786.0,2025-05-24 02:35:00,90,BTCUSDT
107833.5,107854.0,107804.5,107830.0,2025-05-24 02:40:00,1135,BTCUSDT
